action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,1090414516,bc81e05b-ed51-46ba-a0a4-90fbae9b5545,CC_BY_NC_4_0,BRA:CEPLAC:CEPEC:12791,PRESERVED_SPECIMEN,,,,Brasil,BR,,1976,Plantae,Poaceae,C. E. Calderon,Comissão Executiva do Plano da Lavoura Cacaueira,CEPEC,12791,T. R. Soderstrom,Olyra ecaudata,,,
identified,1090404797,bc81e05b-ed51-46ba-a0a4-90fbae9b5545,CC_BY_NC_4_0,BRA:CEPLAC:CEPEC:2079,PRESERVED_SPECIMEN,,,,Brasil,BR,,1966,Plantae,Poaceae,C. E. Calderon,Comissão Executiva do Plano da Lavoura Cacaueira,CEPEC,2079,R. P. Belém,Olyra latifolia,,,
identified,1090414544,bc81e05b-ed51-46ba-a0a4-90fbae9b5545,CC_BY_NC_4_0,BRA:CEPLAC:CEPEC:12779,PRESERVED_SPECIMEN,,,,Brasil,BR,,1976,Plantae,Poaceae,C. E. Calderon,Comissão Executiva do Plano da Lavoura Cacaueira,CEPEC,12779,T. R. Soderstrom,Eremitis parviflora,,,
identified,1090416427,bc81e05b-ed51-46ba-a0a4-90fbae9b5545,CC_BY_NC_4_0,BRA:CEPLAC:CEPEC:14932,PRESERVED_SPECIMEN,,,,Brasil,BR,,1978,Plantae,Poaceae,C. E. Calderon,Comissão Executiva do Plano da Lavoura Cacaueira,CEPEC,14932,T. S. dos Santos,Olyra latifolia,,,
identified,1090404558,bc81e05b-ed51-46ba-a0a4-90fbae9b5545,CC_BY_NC_4_0,BRA:CEPLAC:CEPEC:1796,PRESERVED_SPECIMEN,,,,Brasil,BR,,1966,Plantae,Poaceae,C. E. Calderon,Comissão Executiva do Plano da Lavoura Cacaueira,CEPEC,1796,R. P. Belém,Olyra latifolia,,,
identified,1090411542,bc81e05b-ed51-46ba-a0a4-90fbae9b5545,CC_BY_NC_4_0,BRA:CEPLAC:CEPEC:9645,PRESERVED_SPECIMEN,,,,Brasil,BR,,1974,Plantae,Poaceae,C. E. Calderon,Comissão Executiva do Plano da Lavoura Cacaueira,CEPEC,9645,T. S. dos Santos,Eremitis monothalamia,,,
identified,1095438747,3b8e9d83-b2d4-4a97-973c-31d98b67b1e9,CC_BY_NC_4_0,BRA:MBM:MBM:78424,PRESERVED_SPECIMEN,,,,Brazil,BR,,,Plantae,Poaceae,"Calderon, CE",MBM,MBM,78424,"Silva, M; et al.",Hymenachne amplexicaulis,,,
identified,1571033514,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,CC_BY_4_0,http://specimens.kew.org/herbarium/K001059249,PRESERVED_SPECIMEN,,,,Brazil,BR,8/3/73,,Plantae,Poaceae,"Calderon, C.E.",K,Herbarium,K001059249,"Prance, G.T.",Spheneria kegelii (Müll.Hal.) Pilg.,,,
identified,1230492262,7f5260c2-f762-11e1-a439-00145eb45e9a,CC_BY_4_0,https://w.jacq.org/W20050018205,PRESERVED_SPECIMEN,,,,BRA,BR,2/23/79,,Plantae,Poaceae,"Calderon,C.E.&Santos,T.S., 1979-02-23",W,Herbarium W,2005-0018205,"Calderón,C.E. & Santos,T.S. dos",Alvimia Calderon ex Soderstr. & Londoño,,,
identified,1230492353,7f5260c2-f762-11e1-a439-00145eb45e9a,CC_BY_4_0,https://w.jacq.org/W20050018204,PRESERVED_SPECIMEN,,,,BRA,BR,2/23/79,,Plantae,Poaceae,"Calderon,C.E.&Santos,T.S., 1979-02-23",W,Herbarium W,2005-0018204,"Calderón,C.E. & Santos,T.S. dos",Alvimia Calderon ex Soderstr. & Londoño,,,
identified,1090411750,bc81e05b-ed51-46ba-a0a4-90fbae9b5545,CC_BY_NC_4_0,BRA:CEPLAC:CEPEC:9878,PRESERVED_SPECIMEN,,-10.683333,-39.8,Brasil,BR,,1974,Plantae,Poaceae,C. E. Calderon,Comissão Executiva do Plano da Lavoura Cacaueira,CEPEC,9878,R. M. Harley,Raddia portoi,,,
identified,1090411602,bc81e05b-ed51-46ba-a0a4-90fbae9b5545,CC_BY_NC_4_0,BRA:CEPLAC:CEPEC:9715,PRESERVED_SPECIMEN,,-14.75,-39.25,Brasil,BR,,1974,Plantae,Poaceae,C. E. Calderon,Comissão Executiva do Plano da Lavoura Cacaueira,CEPEC,9715,R. M. Harley,Eremitis monothalamia,,,
identified,1090416466,bc81e05b-ed51-46ba-a0a4-90fbae9b5545,CC_BY_NC_4_0,BRA:CEPLAC:CEPEC:14933,PRESERVED_SPECIMEN,,,,Brasil,BR,,1978,Plantae,Poaceae,C. E. Calderon,Comissão Executiva do Plano da Lavoura Cacaueira,CEPEC,14933,T. S. dos Santos,Streptochaeta spicata,,,
identified,1090414529,bc81e05b-ed51-46ba-a0a4-90fbae9b5545,CC_BY_NC_4_0,BRA:CEPLAC:CEPEC:12794,PRESERVED_SPECIMEN,,,,Brasil,BR,,1976,Plantae,Poaceae,C. E. Calderon,Comissão Executiva do Plano da Lavoura Cacaueira,CEPEC,12794,T. R. Soderstrom,Eremitis parviflora,,,
identified,1090414519,bc81e05b-ed51-46ba-a0a4-90fbae9b5545,CC_BY_NC_4_0,BRA:CEPLAC:CEPEC:12759,PRESERVED_SPECIMEN,,,,Brasil,BR,,1976,Plantae,Poaceae,C. E. Calderon,Comissão Executiva do Plano da Lavoura Cacaueira,CEPEC,12759,T. R. Soderstrom,Pariana lanceolata,,,
identified,1042486650,3cc6171e-8c52-4f65-ad7a-32c74e395f29,CC0_1_0,urn:catalog:inpa:herbarium:20812,PRESERVED_SPECIMEN,1979,,,Brasil,BR,7/10/79,,Plantae,Malvaceae,"Calderón, C.E.",Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",91419,Mike Hopkins,Byttneria benensis Britton,,,
identified,1042486433,3cc6171e-8c52-4f65-ad7a-32c74e395f29,CC0_1_0,urn:catalog:inpa:herbarium:20593,PRESERVED_SPECIMEN,1979-08,,,Brasil,BR,6/18/79,,Plantae,Lentibulariaceae,"Calderón, C.E.",Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",91185,Mike Hopkins,Utricularia longeciliata DC.,,,
identified,417006245,f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7,CC_BY_4_0,,PRESERVED_SPECIMEN,,,,Argentina,AR,,,Plantae,Poaceae,"Calderón, C. E.",SI,HERB,249203,"Crespo, S.",Panicum miliaceum L.,,,
identified,1318385575,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3345532b8-f3d2-4e65-9a68-9c4763ca1ead,PRESERVED_SPECIMEN,,,,Brazil,BR,,,Plantae,Poaceae,"Calderón, C. E.",US,US,US 3169651,"Riedel, --",Strephium distichophyllum,,,
identified,1930589303,d415c253-4d61-4459-9d25-4015b9084fb0,CC0_1_0,c79af176-0f09-4fd4-a3eb-55688e5ef1ac,PRESERVED_SPECIMEN,1979-03,-3.0718694,-60.0925514,Brazil,BR,1976-03,,Plantae,Poaceae,C. E. Calderón,NY,NY,1166352,D. F. Coêlho,Olyra longifolia Kunth,,,
identified,1930827065,d415c253-4d61-4459-9d25-4015b9084fb0,CC0_1_0,d86c8f36-874d-46ed-a0b6-35574327fca2,PRESERVED_SPECIMEN,1979-04,-6.948409,-62.2240734,Brazil,BR,11/26/66,,Plantae,Poaceae,C. E. Calderón,NY,NY,1166547,G. T. Prance,Panicum discrepans Döll,,,
identified,1928370096,d415c253-4d61-4459-9d25-4015b9084fb0,CC0_1_0,2a8623f6-708f-4fac-bc2a-0650e5f3d792,PRESERVED_SPECIMEN,1979-05,-0.6444032,-63.2505226,Brazil,BR,10/29/62,,Plantae,Poaceae,C. E. CalderÃ³n,NY,NY,1166565,W. A. Rodrigues,Panicum hirtum Lam.,,,
identified,1929428715,d415c253-4d61-4459-9d25-4015b9084fb0,CC0_1_0,75867a85-8707-410f-a26d-9f61847294bc,PRESERVED_SPECIMEN,1979,-3.601485,-60.219385,Brazil,BR,7/22/72,,Plantae,Poaceae,C. E. CalderÃ³n,NY,NY,1166076,M. F. da Silva,Hymenachne amplexicaulis (Rudge) Nees,,,
identified,1930381070,d415c253-4d61-4459-9d25-4015b9084fb0,CC0_1_0,b8dbaadc-5ece-4df0-a86c-68ec5515811c,PRESERVED_SPECIMEN,,-15.40761,-55.832445,Brazil,BR,10/18/73,,Plantae,Poaceae,C. E. Calderón,NY,NY,863239,G. T. Prance,Leptocoryphium lanatum (Kunth) Nees,,,
identified,1929255792,d415c253-4d61-4459-9d25-4015b9084fb0,CC0_1_0,6947363d-9342-4d64-9503-80d32c812762,PRESERVED_SPECIMEN,1979-03,2.6780147,-61.1802006,Brazil,BR,1/21/67,,Plantae,Poaceae,C. E. Calderón,NY,NY,1166272,G. T. Prance,Olyra latifolia L.,,,
identified,1890926138,18da9e5d-8966-4893-bf70-b3911152d991,CC_BY_NC_4_0,5d82ce24-25e7-11e3-add6-000c29c9b582,PRESERVED_SPECIMEN,1/1/81,,,Colombia,CO,6/10/79,,Plantae,Poaceae,C. E. Calderón,ICN,COL,208204,C. Gamboa,Olyra latifolia,,,
identified,1252638041,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,CC_BY_4_0,http://specimens.kew.org/herbarium/K000997098,PRESERVED_SPECIMEN,1972-00-00,,,Brazil,BR,5/18/71,,Plantae,Poaceae,"Soderstrom, T.R.; Calderón, C.E.",K,Herbarium,K000997098,"Kubitzki, K.; Maas, P.J.M.; Steward, W.C.; Ramos, J.F.; Lima, J.F.; Pinheiro, W.S.",Olyra caudata Trin.,,,
identified,1890932426,18da9e5d-8966-4893-bf70-b3911152d991,CC_BY_NC_4_0,5db58503-25e7-11e3-add6-000c29c9b582,PRESERVED_SPECIMEN,1/1/81,,,Colombia,CO,7/28/80,,Plantae,Poaceae,C. E. Calderón,ICN,COL,216445,Jesús Medardo Idrobo,Olyra latifolia,,,
identified,1927811198,d415c253-4d61-4459-9d25-4015b9084fb0,CC0_1_0,031bde73-532a-4a22-b4de-fc302b212dba,PRESERVED_SPECIMEN,1979-04,,,Brazil,BR,7/24/73,,Plantae,Poaceae,C. E. Calderón,NY,NY,1173088,G. T. Prance,Paspalum repens P.J. Bergius,,,
identified,1930613675,d415c253-4d61-4459-9d25-4015b9084fb0,CC0_1_0,c959cd44-fceb-4df9-ad68-ab608469ab13,PRESERVED_SPECIMEN,1979-04,-6.948409,-62.2240734,Brazil,BR,11/26/66,,Plantae,Poaceae,C. E. Calderón,NY,NY,1166548,G. T. Prance,Panicum discrepans Döll,,,
identified,1930320724,d415c253-4d61-4459-9d25-4015b9084fb0,CC0_1_0,b4a171cd-6bdf-4fc3-8986-4ece115b918c,PRESERVED_SPECIMEN,1979-03,-1.1698768,-60.4391384,Brazil,BR,11/25/76,,Plantae,Poaceae,C. E. CalderÃ³n,NY,NY,1166313,G. T. Prance,Olyra latifolia L.,,,
identified,1927884225,d415c253-4d61-4459-9d25-4015b9084fb0,CC0_1_0,0836bc2e-bb2b-42c1-b222-3cff0dbd02d7,PRESERVED_SPECIMEN,1979-05,-0.6444032,-63.2505226,Brazil,BR,10/29/62,,Plantae,Poaceae,C. E. CalderÃ³n,NY,NY,1166564,W. A. Rodrigues,Panicum hirtum Lam.,,,
identified,1928553877,d415c253-4d61-4459-9d25-4015b9084fb0,CC0_1_0,378b66be-57c0-48a5-abf1-db54f3467086,PRESERVED_SPECIMEN,,-15.4151111,-55.80725,Brazil,BR,10/15/73,1973,Plantae,Poaceae,C. E. Calderón,NY,NY,863213,G. T. Prance,Leptocoryphium lanatum (Kunth) Nees,,,
identified,1930587981,d415c253-4d61-4459-9d25-4015b9084fb0,CC0_1_0,c77d6588-da79-4bb3-b0c1-67c642d7faf2,PRESERVED_SPECIMEN,,-22.9811,-43.9111,Brazil,BR,11/5/67,,Plantae,Poaceae,C. E. Calderón,NY,NY,772875,B. D. Sucre,Raddia brasiliensis Bertol.,,,
identified,1930092411,d415c253-4d61-4459-9d25-4015b9084fb0,CC0_1_0,a4717023-6776-41a4-82e6-3ff22beac37b,PRESERVED_SPECIMEN,1979-03,-3.085061,-59.93016,Brazil,BR,8/30/73,,Plantae,Poaceae,C. E. CalderÃ³n,NY,NY,1147514,G. T. Prance,Ichnanthus panicoides P.Beauv.,,,
identified,1929684886,d415c253-4d61-4459-9d25-4015b9084fb0,CC0_1_0,87c14997-eb39-4bbc-b71b-dff922454c56,PRESERVED_SPECIMEN,,-22.9811,-43.9111,Brazil,BR,11/5/67,,Plantae,Poaceae,C. E. Calderón,NY,NY,772874,B. D. Sucre,Raddia brasiliensis Bertol.,,,
identified,1890918342,18da9e5d-8966-4893-bf70-b3911152d991,CC_BY_NC_4_0,5d482187-25e7-11e3-add6-000c29c9b582,PRESERVED_SPECIMEN,8/1/81,,,Colombia,CO,1/11/74,,Plantae,Poaceae,C. E. Calderón,ICN,COL,198731,G. Davidse,Pariana,,,
identified,1931258158,d415c253-4d61-4459-9d25-4015b9084fb0,CC0_1_0,f6fc285c-e74c-40c6-b995-4ca4c157df52,PRESERVED_SPECIMEN,1972,-8.2686,-72.7439,Brazil,BR,5/18/71,,Plantae,Poaceae,T. R. Soderstrom; C. E. Calderón,NY,NY,865706,P. J. M. Maas,Olyra caudata Trin.,,,
identified,1930430290,d415c253-4d61-4459-9d25-4015b9084fb0,CC0_1_0,bc306bf9-9142-4003-8213-b9ecaacd22b2,PRESERVED_SPECIMEN,1976-02,2.6780147,-61.1802006,Brazil,BR,1/27/67,,Plantae,Poaceae,T. R. Soderstrom; C. E. CalderÃ³n,NY,NY,1166266,G. T. Prance,Olyra latifolia L.,,,
identified,1930808048,d415c253-4d61-4459-9d25-4015b9084fb0,CC0_1_0,d719fa19-306f-4a9e-9557-adccecc01e55,PRESERVED_SPECIMEN,1976-02,2.6780147,-61.1802006,Brazil,BR,1/27/67,,Plantae,Poaceae,T. R. Soderstrom; C. E. CalderÃ³n,NY,NY,1166267,G. T. Prance,Olyra latifolia L.,,,
identified,1930057951,d415c253-4d61-4459-9d25-4015b9084fb0,CC0_1_0,a234e5c3-4841-4eae-bafe-e53cc6349054,PRESERVED_SPECIMEN,1972,-8.2686,-72.7439,Brazil,BR,5/19/71,,Plantae,Poaceae,T. R. Soderstrom; C. E. Calderón,NY,NY,865739,P. J. M. Maas,Pharus virescens Döll,,,
identified,1928772386,d415c253-4d61-4459-9d25-4015b9084fb0,CC0_1_0,47088b84-0dc9-4847-8063-3000608a9b08,PRESERVED_SPECIMEN,1976-03,-7.6396461,-63.0804759,Brazil,BR,11/28/66,,Plantae,Poaceae,T. R. Soderstrom; C. E. Calderón,NY,NY,1166373,G. T. Prance,Olyra loretensis Mez,,,
identified,1259477781,7bd65a7a-f762-11e1-a439-00145eb45e9a,CC_BY_4_0,urn:catalog:MO:Tropicos:218898,PRESERVED_SPECIMEN,,10.09,-83.4,Costa Rica,CR,,1896,Plantae,Poaceae,T.R. Soderstrom & C.E. Calderón,MO,MO,218898,Henri Pittier,Arberella costaricensis (Hitchc.) Soderstr. & C.E. Calderón,,,
identified,1260859774,7bd65a7a-f762-11e1-a439-00145eb45e9a,CC_BY_4_0,urn:catalog:MO:Tropicos:3442084,PRESERVED_SPECIMEN,1979,9.35,-79.7,Panama,PA,,1971,Plantae,Poaceae,T.R. Soderstrom & C.E. Calderón,MO,MO,3442084,Cleofé E. Calderón|Robert L. Dressler,Arberella dressleri Soderstr. & C.E. Calderón,,,
identified,2302438103,af0ac0ba-b895-47a2-ac64-30517f109c33,CC_BY_4_0,3611263,PRESERVED_SPECIMEN,1974,,,Brasil,BR,4/11/65,1965,Plantae,Poaceae,"Calderón, CE",IAN,IAN,IAN117391,"Prance, GT;Pennington, TD",Olyra obliquifolia Steud.,,,
identified,2302482010,af0ac0ba-b895-47a2-ac64-30517f109c33,CC_BY_4_0,5235334,PRESERVED_SPECIMEN,Nov-74,,,Brasil,BR,16/1/1969,1969,Plantae,Poaceae,"Calderón, CE",IAN,IAN,IAN128016,"Silva, NT da",Olyra latifolia L.,,,
identified,2302443006,af0ac0ba-b895-47a2-ac64-30517f109c33,CC_BY_4_0,3617254,PRESERVED_SPECIMEN,Nov-74,,,Brasil,BR,25/8/1972,1972,Plantae,Poaceae,"Calderón, CE",IAN,IAN,IAN141848,"Silva, NT da;Ribeiro, BGS",Olyra micrantha Kunth,,,
identified,2302442096,af0ac0ba-b895-47a2-ac64-30517f109c33,CC_BY_4_0,3615487,PRESERVED_SPECIMEN,Nov-74,,,Brasil,BR,2/8/69,1969,Plantae,Poaceae,"Calderón, CE",IAN,IAN,IAN134399,"Silva, NT da",Olyra micrantha Kunth,,,
identified,2302426936,af0ac0ba-b895-47a2-ac64-30517f109c33,CC_BY_4_0,3599129,PRESERVED_SPECIMEN,Nov-74,,,Brasil,BR,31/5/1952,1952,Plantae,Poaceae,"Calderón, CE",IAN,IAN,IAN075411,"Black, GA;Cordeiro, E",Merostachys,,,
identified,2302482305,af0ac0ba-b895-47a2-ac64-30517f109c33,CC_BY_4_0,5235214,PRESERVED_SPECIMEN,Nov-74,,,Brasil,BR,8/7/65,1965,Plantae,Poaceae,"Calderón, CE",IAN,IAN,IAN118321,"Pires, JM",Olyra latifolia L.,,,
identified,2302483696,af0ac0ba-b895-47a2-ac64-30517f109c33,CC_BY_4_0,5235131,PRESERVED_SPECIMEN,1974,,,Brasil,BR,11/12/64,1964,Plantae,Poaceae,"Calderón, CE",IAN,IAN,IAN116149,"Oliveira, E",Olyra latifolia L.,,,
identified,2302438892,af0ac0ba-b895-47a2-ac64-30517f109c33,CC_BY_4_0,3611256,PRESERVED_SPECIMEN,1974,,,Brasil,BR,1/11/65,1965,Plantae,Poaceae,"Calderón, CE",IAN,IAN,IAN117355,"Prance, GT;Pennington, TD",Olyra obliquifolia Steud.,,,
identified,2302482294,af0ac0ba-b895-47a2-ac64-30517f109c33,CC_BY_4_0,5235293,PRESERVED_SPECIMEN,Nov-74,,,Brasil,BR,25/6/1968,1968,Plantae,Poaceae,"Calderón, CE",IAN,IAN,IAN124852,"Oliveira, E",Olyra latifolia L.,,,
identified,2302439741,af0ac0ba-b895-47a2-ac64-30517f109c33,CC_BY_4_0,3612150,PRESERVED_SPECIMEN,1974,,,Brasil,BR,5/6/67,1967,Plantae,Poaceae,"Calderón, CE",IAN,IAN,IAN121208,"Pires, JM;Silva, NT da",Olyra obliquifolia Steud.,,,
identified,2302482168,af0ac0ba-b895-47a2-ac64-30517f109c33,CC_BY_4_0,5235201,PRESERVED_SPECIMEN,Nov-74,,,Brasil,BR,24/7/1962,1962,Plantae,Poaceae,"Calderón, CE",IAN,IAN,IAN117776,"Pires, JM;Cavalcante, PB",Olyra latifolia L.,,,
identified,2629735266,98c51784-da02-4f0e-81a4-f3635cb3cba7,CC_BY_4_0,urn:catalog:INECOL:XAL:V115782:925c8bbb72fc1b9ac85d4c2c59e4fc4a,PRESERVED_SPECIMEN,,19.3222222,-96.7722222,MEXICO,MX,10/23/82,1982,Plantae,Poaceae,C.E. Calderon,INECOL,XAL,V115782,H.H. Iltis; B. Benz,Otatea acuminata,Topotipo,,
identified,2998551477,ebed4456-76d2-408c-8467-fd66be066521,CC_BY_4_0,2373357,PRESERVED_SPECIMEN,s. d.,,,Brasil,BR,3/8/73,1973,Plantae,Poaceae,C.E. Calderon,K,K,K001059249,G.T Prance,Spheneria kegelii (Müll.Hal.) Pilg.,,,
identified,2996672943,5c9a924c-8d45-4452-8604-415a118578aa,CC_BY_4_0,5136755,PRESERVED_SPECIMEN,s. d.,0,0,Brazil,BR,22/0/0,0,Plantae,Poaceae,"Calderon, C.E.",MBM,MBM,MBM078424,"Silva, M;Silva, M.,et al.",Hymenachne amplexicaulis (Rudge) Nees,,,
identified,2998025680,a185d0c4-1a12-45c1-a729-2a7b058b528d,CC_BY_4_0,3687379,PRESERVED_SPECIMEN,1972,-8.268611111,-72.74388889,Brazil,BR,19/5/1971,1971,Plantae,Poaceae,T. R. Soderstrom; C. E. Calderón,NY,NY,NY00865739,P. J. M. Maas,Pharus virescens Döll,,,
identified,2998022875,a185d0c4-1a12-45c1-a729-2a7b058b528d,CC_BY_4_0,3189098,PRESERVED_SPECIMEN,s. d.,-15.4075,-55.8325,Brazil,BR,18/10/1973,1973,Plantae,Poaceae,C. E. Calderón,NY,NY,NY00863239,G. T. Prance,Leptocoryphium lanatum (Kunth) Nees,,,
identified,2997933287,a185d0c4-1a12-45c1-a729-2a7b058b528d,CC_BY_4_0,2471273,PRESERVED_SPECIMEN,Mar-76,-7.639722222,-63.08055556,Brazil,BR,28/11/1966,1966,Plantae,Poaceae,T. R. Soderstrom; C. E. Calderón,NY,NY,NY01166373,G. T. Prance,Olyra loretensis Mez,,,
identified,2997933282,a185d0c4-1a12-45c1-a729-2a7b058b528d,CC_BY_4_0,2471192,PRESERVED_SPECIMEN,Mar-79,2.678055556,-61.18027778,Brazil,BR,21/1/1967,1967,Plantae,Poaceae,C. E. Calderón,NY,NY,NY01166272,G. T. Prance,Olyra latifolia L.,,,
identified,2997933272,a185d0c4-1a12-45c1-a729-2a7b058b528d,CC_BY_4_0,2471002,PRESERVED_SPECIMEN,1979,-3.601388889,-60.21944444,Brazil,BR,22/7/1972,1972,Plantae,Poaceae,C. E. Calderón,NY,NY,NY01166076,M. F. da Silva,Hymenachne amplexicaulis,,,
identified,2997932136,a185d0c4-1a12-45c1-a729-2a7b058b528d,CC_BY_4_0,2467925,PRESERVED_SPECIMEN,Mar-79,-3.085,-59.93027778,Brazil,BR,30/8/1973,1973,Plantae,Poaceae,C. E. Calderón,NY,NY,NY01147514,G. T. Prance,Ichnanthus panicoides P.Beauv.,,,
identified,2997929314,a185d0c4-1a12-45c1-a729-2a7b058b528d,CC_BY_4_0,2471252,PRESERVED_SPECIMEN,Mar-79,-3.071944444,-60.0925,Brazil,BR,--/3/1976,1976,Plantae,Poaceae,C. E. Calderón,NY,NY,NY01166352,D. F. Coêlho,Olyra longifolia Kunth,,,
identified,2997923317,a185d0c4-1a12-45c1-a729-2a7b058b528d,CC_BY_4_0,2471232,PRESERVED_SPECIMEN,Mar-79,-1.17,-60.43916667,Brazil,BR,25/11/1976,1976,Plantae,Poaceae,C. E. Calderón,NY,NY,NY01166313,G. T. Prance,Olyra latifolia L.,,,
identified,2997921317,a185d0c4-1a12-45c1-a729-2a7b058b528d,CC_BY_4_0,2471411,PRESERVED_SPECIMEN,Apr-79,-6.948333333,-62.22416667,Brazil,BR,26/11/1966,1966,Plantae,Poaceae,C. E. Calderón,NY,NY,NY01166548,G. T. Prance,Panicum discrepans Döll,,,
identified,2997921307,a185d0c4-1a12-45c1-a729-2a7b058b528d,CC_BY_4_0,2471187,PRESERVED_SPECIMEN,Feb-76,2.678055556,-61.18027778,Brazil,BR,27/1/1967,1967,Plantae,Poaceae,T. R. Soderstrom; C. E. Calderón,NY,NY,NY01166267,G. T. Prance,Olyra latifolia L.,,,
identified,2997603584,a185d0c4-1a12-45c1-a729-2a7b058b528d,CC_BY_4_0,3687352,PRESERVED_SPECIMEN,1972,-8.268611111,-72.74388889,Brazil,BR,18/5/1971,1971,Plantae,Poaceae,T. R. Soderstrom; C. E. Calderón,NY,NY,NY00865706,P. J. M. Maas,Olyra caudata Trin.,,,
identified,2997592249,a185d0c4-1a12-45c1-a729-2a7b058b528d,CC_BY_4_0,3680136,PRESERVED_SPECIMEN,1972,-26.92,-48.63,Brazil,BR,27/11/1971,1971,Plantae,Poaceae,T. R. Soderstrom; C. E. Calderón,NY,NY,NY00651765,L. B. Smith,Olyra micrantha Kunth,,,
identified,2997498857,a185d0c4-1a12-45c1-a729-2a7b058b528d,CC_BY_4_0,3189081,PRESERVED_SPECIMEN,s. d.,-15.415,-55.80722222,Brazil,BR,,,Plantae,Poaceae,C. E. Calderón,NY,NY,NY00863213,G. T. Prance,Leptocoryphium lanatum (Kunth) Nees,,,
identified,2997400319,a185d0c4-1a12-45c1-a729-2a7b058b528d,CC_BY_4_0,2471410,PRESERVED_SPECIMEN,Apr-79,-6.948333333,-62.22416667,Brazil,BR,26/11/1966,1966,Plantae,Poaceae,C. E. Calderón,NY,NY,NY01166547,G. T. Prance,Panicum discrepans Döll,,,
identified,2997400309,a185d0c4-1a12-45c1-a729-2a7b058b528d,CC_BY_4_0,2471186,PRESERVED_SPECIMEN,Feb-76,2.678055556,-61.18027778,Brazil,BR,27/1/1967,1967,Plantae,Poaceae,T. R. Soderstrom; C. E. Calderón,NY,NY,NY01166266,G. T. Prance,Olyra latifolia L.,,,
identified,2997399302,a185d0c4-1a12-45c1-a729-2a7b058b528d,CC_BY_4_0,2471427,PRESERVED_SPECIMEN,May-79,-0.644444444,-63.25055556,Brazil,BR,29/10/1962,1962,Plantae,Poaceae,C. E. Calderón,NY,NY,NY01166565,W. A. Rodrigues,Panicum hirtum Lam.,,,
identified,2997397431,a185d0c4-1a12-45c1-a729-2a7b058b528d,CC_BY_4_0,2474526,PRESERVED_SPECIMEN,Apr-79,,,Brazil,BR,24/7/1973,1973,Plantae,Poaceae,C. E. Calderón,NY,NY,NY01173088,G. T. Prance,paspalum repens p.j. bergius,,,
identified,2997395301,a185d0c4-1a12-45c1-a729-2a7b058b528d,CC_BY_4_0,2471426,PRESERVED_SPECIMEN,May-79,-0.644444444,-63.25055556,Brazil,BR,29/10/1962,1962,Plantae,Poaceae,C. E. Calderón,NY,NY,NY01166564,W. A. Rodrigues,Panicum hirtum Lam.,,,
identified,2997391276,a185d0c4-1a12-45c1-a729-2a7b058b528d,CC_BY_4_0,2471281,PRESERVED_SPECIMEN,Mar-79,-3.101944444,-60.025,Brazil,BR,22/5/1962,1962,Plantae,Poaceae,C. E. Calderón,NY,NY,NY01166382,W. A. Rodrigues,Olyra micrantha Kunth,,,
identified,1895519938,33948acc-bfac-4107-92c8-6464de387822,CC_BY_4_0,urn:catalog:CNS-UT:TEX:00172575:dcb7686f79fcb027f6d6293e276a5ad4,PRESERVED_SPECIMEN,,20.3684188,-98.3441027,MEXICO,MX,2/23/64,1964,Plantae,Polygonaceae,C. Calderón,CNS-UT,TEX,172575,L. González Q.,Rumex obtusifolius,NO APLICA,,
identified,1895493145,33948acc-bfac-4107-92c8-6464de387822,CC_BY_4_0,urn:catalog:CNS-UT:TEX:00146896:c06cb083a2e060959232c07f8dad87b5,PRESERVED_SPECIMEN,,20.3666667,-98.35,MEXICO,MX,2/23/64,1964,Plantae,Lauraceae,C. Calderón,CNS-UT,TEX,146896,L. González Q.,Ocotea klotzschiana,NO APLICA,,
identified,1895470957,33948acc-bfac-4107-92c8-6464de387822,CC_BY_4_0,urn:catalog:CNS-UT:TEX:00151605:efdf31b482105b28fd6c6f6c907c3d2b,PRESERVED_SPECIMEN,,20.1253989,-98.178871,MEXICO,MX,3/14/64,1964,Plantae,Rosaceae,C. Calderón,CNS-UT,TEX,151605,L. González Q.,Prunus serotina var. capuli,NO APLICA,,
identified,1895459023,33948acc-bfac-4107-92c8-6464de387822,CC_BY_4_0,urn:catalog:CNS-UT:TEX:00250538:fe81a3bd83ee6654a937e8ecdd06002f,PRESERVED_SPECIMEN,,20.125,-98.1788889,MEXICO,MX,3/14/64,1964,Plantae,Apocynaceae,C. Calderón,CNS-UT,TEX,250538,L. González Q.,Vinca major,NO APLICA,,
